키,몸무게,머리둘레,목둘레,화장,젖가슴둘레,배꼽수준허리둘레,엉덩이둘레,샅높이,희망치수신발,윗가슴둘레(겨드랑이),허리둘레(윗허리),어깨가쪽사이길이,팔길이,등길이,다리가쪽길이,총장,(초)전투복상의,(초)전투복하의,(초)야상외피,(초)야상내피,(초)병사반코트,(초)전투모,(초)게리슨모,(초)정모,(초)동운동복,(초)춘추운동복,(초)하운동복상의,(초)하운동복하의,(초)동내의,(초)춘추내의,(초)티셔츠(런닝),(초)삼각팬티,(초)사각팬티
161.8,61.1,56.3,36.2,68.4,87.3,83.8,101.1,74.5,240,89.6,78.1,46.2,45.8,32.5,92,134.5,85-W-164,85-164,85-164,85-164,90-165,57호,57호,57호,95,95,95,95,95,95,90,100,100
155.7,54.7,53.9,35.6,68.2,89.2,72.9,94.3,72,235,89.9,74.8,42.9,48.1,28.5,92,130.5,90-W-158,75-158,90-158,90-158,90-165,54호,54호,54호,95,95,95,95,95,95,90,95,95
172.7,67.2,55.7,36.6,0,88.7,73.4,98.1,78.5,250,88.4,77.9,0,147.9,18.6,105.5,134.1,90-W-170,75-170,90-170,90-170,90-175,56호,56호,56호,95,95,95,95,95,95,90,100,100
166.8,57.4,55.9,35.1,0,83.8,71.7,95.9,77,235,87.7,72.7,0,158.9,23.5,97,130.5,85-W-164,70-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,95,95
154.7,66.6,55.8,37,70.5,94.4,80.5,99.6,71,230,96.5,85.2,56.3,46,28.5,92.5,131,95-W-158,80-158,95-158,95-158,95-165,56호,56호,56호,95,95,95,95,95,95,95,100,100
157.9,54.8,54.3,35.4,0,2,80.4,94.1,72.5,235,4.4,74,0,152.3,34.6,90,134.6,80-W-158,80-158,80-158,80-158,90-165,55호,55호,55호,95,95,95,95,95,95,90,95,95
166.8,63.4,56.4,36.1,0,94.1,82.2,96.1,79,250,93.8,77.2,0,151.7,23,98,131,95-W-164,80-164,95-164,95-164,95-165,57호,57호,57호,95,95,95,95,95,95,95,95,95
170.2,58.9,54.5,35.3,0,82.9,64.2,95.2,82,255,83.8,72.6,0,153.3,15.3,109.5,134.8,85-W-170,65-170,85-170,85-170,90-170,55호,55호,55호,95,95,95,95,95,95,90,95,95
159.2,49.5,54.4,33.7,76.4,82.3,66.6,90.6,73,235,84.3,68.4,47.5,53.4,26,96.5,132.5,80-W-158,65-158,80-158,80-158,90-165,55호,55호,55호,95,95,95,95,95,95,90,90,90
164.4,51.1,55.9,33.9,69.3,78.9,69.1,89.8,77,0,77.9,68.8,49.2,44.4,30,97.5,137.5,80-W-164,70-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,90,90
168.4,63,54.1,36,66.6,92.5,75.4,100.2,79.5,235,93.6,76.2,48.1,45,28,103.5,141.5,90-W-170,75-170,90-170,90-170,95-170,55호,55호,55호,95,95,95,95,95,95,90,100,100
163.5,51.5,53.8,34.3,0,77.1,70.4,90.6,76,245,78.8,69.9,0,157.8,32.6,95.5,138.1,80-W-164,70-164,85-164,85-164,90-165,54호,54호,54호,95,95,95,95,95,95,90,90,90
166.4,52.5,54.1,34.3,0,2,0,97.8,80.5,240,0,69.4,0,45,28,103.8,141.8,80-W-164,60-164,85-164,85-164,90-165,55호,55호,55호,95,95,95,95,95,95,90,100,100
160.1,66.5,56.1,37.5,0,92.4,84.7,99.7,72.5,235,89.2,82.7,0,144.9,35.1,92.5,137.6,90-W-158,90-170,90-158,90-158,90-165,57호,57호,57호,95,95,95,95,95,95,90,100,100
164.7,64.8,55,36.5,70.9,96,78.8,98,74,245,97.7,79.2,48.4,46,32,95.5,137.5,95-W-164,80-164,95-164,95-164,100-165,56호,56호,56호,95,95,95,95,95,95,95,100,100
163.4,47.1,53.7,33.4,77.4,76.9,72.9,90.1,77.5,0,79.1,64.8,44.8,55.2,34,93,137,80-W-164,75-164,85-164,85-164,90-165,54호,54호,54호,95,95,95,95,95,95,90,90,90
166.4,64.1,57.4,36.3,70.4,92.2,83.1,100.2,72,245,88.6,78.1,48.4,48.4,34,96.5,140.5,90-W-164,85-164,90-164,90-164,90-165,58호,58호,58호,95,95,95,95,95,95,90,100,100
162.1,50.7,52.6,33.8,76.3,76.6,68.6,92.9,75,240,78,68.4,47.9,52,31,95,136,80-W-164,70-164,85-164,85-164,90-165,53호,53호,53호,95,95,95,95,95,95,90,95,95
175.1,78.2,56.4,38.3,79.5,90.2,86,105.5,83.5,260,92.9,86,47.1,55.1,33.5,105,148.5,90-W-170,85-170,90-170,90-170,95-175,57호,57호,57호,95,95,95,95,95,95,90,105,105
159.7,58.9,55.9,36.2,65.5,85.4,75.1,96.1,70,240,87.5,76.9,51.2,41.3,32.5,90.5,133,85-W-158,75-158,85-158,85-158,90-165,56호,56호,56호,95,95,95,95,95,95,90,95,95
160.4,60,53.9,36.2,71.9,92.7,78.8,95.6,74.5,240,91.6,77.7,48.6,48.6,29.5,95,134.5,95-W-158,80-158,95-158,95-158,90-165,54호,54호,54호,95,95,95,95,95,95,95,95,95
164.6,50.8,55.3,33.7,72,77.5,69,91.2,75.5,0,81.8,68,46.9,49.4,32,97,139,80-W-164,70-164,85-164,85-164,90-165,56호,56호,56호,95,95,95,95,95,95,90,90,90
161.2,59.4,54.1,36,75.6,88.4,80,97.1,73,240,88.1,77,45,54.8,34,90.5,134.5,90-W-164,80-164,90-164,90-164,90-165,55호,55호,55호,95,95,95,95,95,95,90,95,95
163.5,60.8,53.8,35.9,0,91.9,76,97.7,73,0,91.6,76.8,0,153.8,26.3,101.5,137.8,90-W-164,75-164,90-164,90-164,90-165,54호,54호,54호,95,95,95,95,95,95,90,100,100
157.2,56.1,53.5,36.1,75.5,94.6,76.1,92.7,72,235,97.8,75.2,48.7,53.1,29.5,93,132.5,95-W-158,75-158,95-158,95-158,100-165,54호,54호,54호,95,95,95,95,95,95,95,95,95
170.7,55.3,55,34.8,70.8,101.2,74.3,95.8,82.5,245,85.1,70.4,44.2,49.4,32,103,145,100-W-170,75-170,95-164,95-164,90-170,56호,56호,56호,100,100,100,100,100,100,100,95,95
167.1,47,53.8,33.1,64.5,80,67.2,89.8,76,235,83.5,64.6,48.9,41.2,32.5,97.5,140,85-W-170,65-170,85-170,85-170,90-165,54호,54호,54호,95,95,95,95,95,95,90,90,90
157,54.9,56,35.5,81.8,2,77,95.8,72,235,21.4,74.8,23.9,64.2,33.5,91.5,135,80-W-158,75-158,80-158,80-158,90-165,57호,57호,57호,95,95,95,95,95,95,90,95,95
165.6,55.3,54.2,34.8,65.5,87.6,70.8,93.1,72.5,235,86.1,71.8,45.7,44.3,31.5,98.5,140,90-W-164,70-164,90-164,90-164,90-165,55호,55호,55호,95,95,95,95,95,95,90,95,95
170.2,60.8,55.5,35.6,0,87.4,72.6,96.4,73,230,91,73.8,0,151.1,23.6,101.5,135.1,85-W-170,75-170,85-170,85-170,90-170,56호,56호,56호,95,95,95,95,95,95,90,95,95
159.6,59.2,56.3,36.3,0,96.1,77.7,97.2,65.5,235,92,77.3,0,155.7,37.8,91,138.8,95-W-158,80-158,95-158,95-158,90-165,57호,57호,57호,95,95,95,95,95,95,95,95,95
